1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	0
12	0
13	0
14	1
15	0
16	0
17	1
18	0
19	1
20	0
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	2
31	1
32	2
33	1
34	2
35	2
36	2
37	2
38	2
39	3
40	2
41	3
42	3
43	2
44	3
45	4
46	3
47	3
48	4
49	4
50	4
51	4
52	4
53	5
54	4
55	5
56	5
57	5
58	6
59	5
60	6
61	6
62	6
63	6
64	7
65	7
66	7
67	7
68	8
69	8
70	8
71	8
72	8
73	9
74	9
75	9
76	10
77	10
78	10
79	10
80	11
81	10
82	12
83	11
84	12
85	12
86	13
87	12
88	13
89	14
90	13
91	14
92	15
93	15
94	15
95	15
96	16
97	16
98	16
99	17
100	19
101	17
102	18
103	18
104	19
105	19
106	19
107	20
108	20
109	21
110	21
111	22
112	22
113	31
114	41
115	42
116	31
117	25
118	25
119	25
120	25
121	27
122	29
123	27
124	28
125	28
126	29
127	38
128	53
129	32
130	32
131	33
132	33
133	33
134	34
135	35
136	35
137	36
138	36
139	37
140	38
141	56
142	43
143	40
144	40
145	41
146	41
147	42
148	45
149	44
150	44
151	44
152	46
153	46
154	47
155	47
156	48
157	64
158	83
159	50
160	51
161	67
162	53
163	55
164	54
165	55
166	55
167	57
168	58
169	59
170	59
171	59
172	61
173	62
174	64
175	63
176	65
177	65
178	67
179	67
180	68
181	69
182	69
183	71
184	72
185	72
186	75
187	87
188	99
189	76
190	75
191	76
192	78
193	78
194	80
195	80
196	81
197	83
198	83
199	84
200	85
201	86
202	88
203	88
204	89
205	90
206	92
207	92
208	93
209	95
210	96
211	96
212	97
213	98
214	101
215	101
216	102
217	102
218	105
219	106
220	106
221	125
222	127
223	129
224	131
225	132
226	134
227	135
228	136
229	138
230	138
231	140
232	142
233	143
234	144
235	145
236	146
237	126
238	127
239	129
240	130
241	131
242	133
243	134
244	136
245	138
246	140
247	164
248	166
249	167
250	169
251	170
252	173
253	173
254	176
255	177
256	182
257	160
258	155
259	155
260	157
261	157
262	159
263	161
264	161
265	164
266	166
267	143
268	168
269	169
270	171
271	173
272	143
273	175
274	177
275	178
276	181
277	181
278	183
279	185
280	187
281	188
282	190
283	163
284	173
285	174
286	187
287	182
288	188
289	204
290	206
291	209
292	228
293	278
294	274
295	382
296	383
297	269
298	270
299	278
300	259
301	247
302	226
303	224
304	228
305	228
306	230
307	231
308	234
309	299
310	427
311	320
312	240
313	240
314	252
315	264
316	266
317	270
318	254
319	255
320	256
321	259
322	259
323	263
324	263
325	267
326	266
327	267
328	270
329	272
330	272
331	277
332	277
333	280
334	282
335	283
336	286
337	288
338	290
339	290
340	293
341	295
342	298
343	341
344	225
345	227
346	233
347	296
348	299
349	240
350	232
351	238
352	280
353	313
354	273
355	263
356	264
357	267
358	277
359	321
360	325
361	315
362	293
363	298
364	307
365	330
366	331
367	375
368	444
369	446
370	475
371	461
372	451
373	434
374	436
375	430
376	376
377	380
378	380
379	383
380	375
381	380
382	393
383	450
384	451
385	456
386	455
387	461
388	462
389	460
390	465
391	465
392	468
393	469
394	428
395	344
396	343
397	345
398	347
399	349
400	351
401	353
402	355
403	357
404	361
405	362
406	364
407	367
408	369
409	370
410	412
411	448
412	429
413	381
414	383
415	385
416	389
417	392
418	489
419	458
420	453
421	399
422	403
423	409
424	409
425	412
426	414
427	417
428	419
429	422
430	425
431	427
432	430
433	432
434	435
435	438
436	438
437	439
438	443
439	444
440	447
441	454
442	506
443	457
444	458
445	463
446	465
447	466
448	470
449	501
450	546
451	539
452	520
453	500
454	484
455	587
456	600
457	717
458	648
459	601
460	603
461	609
462	609
463	610
464	610
465	619
466	587
467	566
468	527
469	529
470	540
471	568
472	540
473	541
474	543
475	547
476	550
477	552
478	554
479	558
480	563
481	565
482	566
483	567
484	569
485	591
486	579
487	610
488	607
489	583
490	587
491	591
492	593
493	599
494	602
495	603
496	604
497	608
498	610
499	613
500	617
